soil_class,Direction,Story Area,stories,D+0.25L,L cm,architectural_archetype,connection_system,xi cm,seismic_zone,Wall,Story,yi cm
C,X,4918759.585999998,4,134462.48835953933,544.0,P,HD,272.0,1,3.1,3,567.0
A,Y,4918759.585999998,3,123890.88263498934,276.0,P,HD,173.0,3,B.4,3,1859.0
B,X,5302759.515700001,3,149789.6605980616,443.0,D,HD,3724.0,1,G.7,1,655.0
B,X,4366070.964799999,5,148308.1374691141,171.0,Q,ATS,1448.0,3,13.3,2,2483.0
A,Y,5302759.515700001,5,154706.41540337398,120.0,D,HD,1787.0,3,L.4,5,1254.0
D,Y,4366070.964799999,5,126168.3799689141,725.0,Q,ATS,959.0,1,F.1,5,362.0
A,Y,4366070.964799999,5,144711.7004225641,195.0,Q,HD,173.0,1,B.4,3,1595.0
A,Y,4366070.964799999,4,121066.64556585804,762.0,Q,HD,1165.0,1,G.1,3,1247.0
A,Y,5302759.515700001,5,178966.13461792396,158.0,D,ATS,1892.0,3,16.2,3,565.0
A,Y,4366070.964799999,5,144642.5001914641,494.0,Q,ATS,627.0,3,D.4,1,2247.0
C,Y,4918759.585999998,5,159464.71849464622,276.0,P,ATS,173.0,1,B.4,1,1859.0
B,X,5302759.515700001,4,152106.56320401162,136.5,D,HD,1949.0,3,E.2,1,475.0
A,Y,5302759.515700001,5,180243.677345924,158.0,D,HD,1892.0,1,16.2,3,565.0
D,Y,5302759.515700001,3,135774.5813513116,232.0,D,HD,11.0,3,1.1,3,468.0
D,Y,5302759.515700001,5,182015.13938437396,120.0,D,ATS,4271.0,1,39.1,2,127.0
C,X,4366070.964799999,5,148285.4979086641,171.0,Q,ATS,470.0,3,1.2,3,11.0
A,X,4918759.585999998,4,123890.88263498934,270.0,P,HD,1503.0,3,1.2,4,11.0
B,X,4366070.964799999,4,121066.64556585804,330.0,Q,HD,349.0,1,4.2,3,655.0
A,Y,2526612.8516999995,3,64840.02839625081,338.0,C,HD,1892.96,1,K.1,3,168.8
D,Y,4918759.585999998,5,159105.56038764623,276.0,P,ATS,1769.0000000000002,1,J.2,1,861.0
A,Y,2526612.8516999995,5,87556.37209655202,388.0,C,HD,1090.36,3,G.1,2,316.62
D,X,5302759.515700001,4,151205.37060276157,265.0,D,HD,262.0,1,J.1,2,947.0
B,X,4366070.964799999,4,121690.15734975804,288.0,Q,HD,1590.0,3,3.2,3,363.0
D,Y,5302759.515700001,3,135774.5813513116,122.0,D,HD,118.0,3,2.3,3,927.0
D,Y,5302759.515700001,3,135774.5813513116,209.5,D,HD,2815.0,3,29.1,3,172.0
C,X,5302759.515700001,5,180850.51014172396,443.0,D,HD,222.00000000000003,1,G.1,2,655.0
A,Y,5302759.515700001,4,135167.7485555116,190.0,D,HD,2757.0,1,27.1,4,1215.0
B,Y,4366070.964799999,3,111059.95374720804,762.0,Q,HD,1165.0,1,G.1,3,1247.0
B,X,4366070.964799999,5,127151.92774681412,162.0,Q,ATS,1837.0,3,8.6,5,1617.0000000000002
B,X,2526612.8516999995,4,72183.1770123758,127.0,C,HD,897.24,1,8.1,2,1079.42
D,Y,5302759.515700001,4,149789.6605980616,122.0,D,HD,4271.0,1,39.2,3,313.0
A,X,2526612.8516999995,4,64840.02839625081,205.0,C,HD,231.62,1,7.1,4,878.34
B,Y,5302759.515700001,5,181026.96852712397,285.0,D,HD,2050.0,1,18.1,2,1112.0
A,Y,2526612.8516999995,5,86859.04669085202,156.0,C,HD,1892.96,1,K.2,4,519.6
D,X,2526612.8516999995,4,72465.30103147581,169.0,C,HD,1970.56,1,4.2,1,434.5
B,Y,2526612.8516999995,6,87473.50727075202,388.0,C,ATS,1090.36,3,G.2,1,892.38
A,Y,5302759.515700001,5,178966.13461792396,209.5,D,ATS,2815.0,3,29.1,3,172.0
C,Y,4918759.585999998,5,160563.93815319624,777.0,P,ATS,971.0,3,F.1,3,389.0
B,Y,5302759.515700001,5,179636.844550124,433.0,D,HD,1324.0,1,A.1,4,11.0
C,Y,5302759.515700001,4,150396.49339386157,194.5,D,HD,2285.0,1,21.1,1,763.0
B,X,5302759.515700001,3,154024.6797306616,326.0,D,HD,977.0,3,H.1,1,806.0
B,X,5302759.515700001,3,151197.79395006158,122.0,D,HD,3411.9999999999995,3,A.2,2,11.0
B,Y,5302759.515700001,4,150188.89270056158,209.5,D,HD,380.0,3,4.1,3,172.0
B,X,5302759.515700001,5,180994.23369862395,120.0,D,HD,167.0,1,B.1,1,56.00000000000001
D,Y,2526612.8516999995,5,86550.30719825202,180.0,C,ATS,337.16,1,C.2,4,701.2
A,Y,4918759.585999998,5,158313.70346244622,799.0,P,ATS,1297.0,1,H.1,2,400.0
D,Y,5302759.515700001,4,150396.49339386157,190.0,D,HD,3260.0,1,33.1,2,95.0
A,X,2526612.8516999995,3,71975.57631907582,205.0,C,HD,231.62,1,7.1,1,878.34
A,Y,5302759.515700001,5,154706.41540337398,471.0,D,HD,977.0,3,7.1,5,258.0
D,Y,2526612.8516999995,3,72619.67077777581,324.0,C,HD,416.35,1,D.1,1,175.7
C,X,4366070.964799999,5,144275.2066571641,330.0,Q,ATS,1569.0,1,4.3,3,655.0
A,Y,4366070.964799999,4,121987.54094895803,289.0,Q,HD,1393.0,3,I.1,1,588.0
A,X,5302759.515700001,4,150396.49339386157,120.0,D,HD,1438.0,3,L.3,2,1254.0
B,Y,5302759.515700001,4,135167.7485555116,122.0,D,HD,118.0,1,2.3,4,927.0
B,Y,4366070.964799999,5,147371.2979087641,762.0,Q,ATS,753.0,3,E.1,3,1247.0
C,X,2526612.8516999995,3,64840.02839625081,540.0,C,HD,1664.51,1,5.3,3,604.5
A,Y,5302759.515700001,5,178966.13461792396,223.0,D,ATS,1297.0,1,9.1,4,404.0
C,X,4366070.964799999,5,144495.6092305141,162.0,Q,ATS,81.0,3,10.1,4,1839.0
A,X,4918759.585999998,5,139929.7773657962,544.0,P,HD,272.0,3,9.1,5,2154.0
C,Y,5302759.515700001,5,154344.44496377397,223.0,D,ATS,3092.0,3,32.1,5,907.0
C,Y,5302759.515700001,3,149789.6605980616,190.0,D,HD,3564.0,1,35.2,2,1215.0
A,X,5302759.515700001,5,180466.83701332397,326.0,D,ATS,977.0,3,H.1,2,806.0
A,X,4366070.964799999,4,121646.86288815804,742.0,Q,HD,1547.0,1,7.2,1,1247.0
B,X,4366070.964799999,5,147371.2979087641,155.0,Q,ATS,871.0000000000001,3,12.1,3,2361.0
D,Y,4366070.964799999,4,111251.58515640804,352.0,Q,HD,1745.0,1,J.1,4,198.0
D,X,5302759.515700001,4,151205.37060276157,122.0,D,HD,3411.9999999999995,1,A.2,2,11.0
D,Y,2526612.8516999995,5,87138.15230465202,335.0,C,ATS,901.56,1,F.2,1,904.97
B,X,4366070.964799999,4,121258.27697505803,171.0,Q,HD,1448.0,1,13.3,2,2483.0
A,Y,5302759.515700001,5,154371.06043727396,122.0,D,ATS,4271.0,3,39.2,5,313.0
B,X,5302759.515700001,3,135167.7485555116,563.25,D,HD,1913.0,1,G.4,3,655.0
A,X,4366070.964799999,5,144690.40804376412,155.0,Q,HD,1048.0,1,2.2,4,133.0
C,X,4366070.964799999,3,111059.95374720804,162.0,Q,HD,81.0,1,10.1,3,1839.0
B,X,4366070.964799999,3,111198.35420940803,162.0,Q,HD,1837.0,3,8.6,3,1617.0000000000002
B,Y,5302759.515700001,5,180994.23369862395,190.0,D,HD,3564.0,1,35.2,1,1215.0
C,Y,2526612.8516999995,4,72821.9483763758,156.0,C,HD,1892.96,1,K.3,1,689.4
A,X,5302759.515700001,5,181127.31106612395,136.5,D,HD,3881.0,3,I.4,2,835.0
B,X,5302759.515700001,4,149182.82780226163,136.5,D,HD,3881.0,1,E.4,3,475.0
C,Y,2526612.8516999995,5,86947.32455015201,335.0,C,ATS,901.56,1,F.1,4,304.03
A,X,4918759.585999998,5,158984.63179134624,270.0,P,HD,439.0,3,11.1,3,2709.0
B,X,4918759.585999998,5,158327.68132224624,162.0,P,ATS,81.0,3,8.1,2,1932.0
A,Y,5302759.515700001,4,149789.6605980616,194.5,D,HD,4036.0,1,38.1,1,547.0
B,Y,5302759.515700001,5,179334.22441252394,194.5,D,ATS,353.0,1,3.1,1,547.0
A,X,2526612.8516999995,5,74346.79139682701,205.0,C,HD,231.62,3,7.1,5,878.34
B,X,4366070.964799999,5,126200.3185371141,171.0,Q,ATS,1448.0,1,13.3,5,2483.0
B,Y,2526612.8516999995,5,87135.84761525202,388.0,C,HD,1384.16,1,I.2,3,892.38
C,X,4918759.585999998,3,135879.05807993934,270.0,P,HD,1503.0,3,1.2,1,11.0
C,X,5302759.515700001,4,152389.86220986157,136.5,D,HD,3881.0,1,I.4,1,835.0
C,X,4366070.964799999,5,126413.24232511412,352.0,Q,HD,360.0,1,6.2,5,877.0
D,Y,2526612.8516999995,5,88052.26081865202,335.0,C,ATS,1572.96,1,J.2,2,904.97
C,X,4366070.964799999,5,145708.22710976412,171.0,Q,ATS,1448.0,1,13.3,3,2483.0
B,X,4366070.964799999,3,121258.27697505803,126.0,Q,HD,679.0,1,6.3,2,877.0
A,Y,2526612.8516999995,5,86944.85752505201,388.0,C,ATS,1384.16,1,I.1,2,316.62
B,X,5302759.515700001,5,183062.916253424,120.0,D,HD,2448.0,3,L.6,1,1254.0
D,X,4918759.585999998,3,135455.22995873934,162.0,P,HD,81.0,3,4.1,2,788.0
C,X,5302759.515700001,5,178966.13461792396,120.0,D,ATS,1438.0,1,L.3,4,1254.0
B,X,5302759.515700001,5,185237.64666862396,287.0,D,ATS,2183.0,3,J.3,2,947.0
D,X,4366070.964799999,5,150084.70391726412,155.0,Q,ATS,871.0000000000001,3,12.1,1,2361.0
D,Y,2526612.8516999995,5,87138.15230465202,180.0,C,ATS,2137.35,1,M.1,1,505.3
D,X,5302759.515700001,3,151936.3714910866,563.25,D,HD,2476.0,3,G.5,1,655.0
D,Y,5302759.515700001,5,184609.52149402397,158.0,D,ATS,3824.0,3,36.2,3,565.0
D,Y,5302759.515700001,3,151381.03272786157,307.0,D,HD,2497.0,1,25.2,1,1000.0
A,X,2526612.8516999995,5,88887.11372915201,127.0,C,HD,1577.27,3,2.3,1,129.58
B,X,4918759.585999998,5,157864.49785104624,224.0,P,ATS,1094.0,1,3.3,2,567.0
A,X,4366070.964799999,3,121066.64556585804,126.0,Q,HD,679.0,1,8.3,1,1617.0000000000002
D,Y,5302759.515700001,5,178966.13461792396,209.5,D,ATS,1574.0,1,12.1,4,1138.0
A,Y,4366070.964799999,4,121646.86288815804,172.0,Q,HD,1291.0,1,H.3,1,1833.0
A,X,5302759.515700001,4,149182.82780226163,265.0,D,HD,4127.0,1,J.4,3,947.0
A,Y,5302759.515700001,4,149225.4125598616,190.0,D,HD,1129.0,1,8.1,2,1215.0
A,Y,4918759.585999998,5,158843.94727584624,287.0,P,HD,1409.0,3,I.1,3,856.0
B,Y,4366070.964799999,4,111059.95374720804,287.0,Q,HD,1745.0,1,J.2,4,588.0
B,X,2526612.8516999995,5,87120.93179555201,169.0,C,ATS,503.96,1,4.1,1,434.5
C,Y,4918759.585999998,5,160563.93815319624,799.0,P,ATS,1297.0,3,H.2,3,2321.0
A,Y,2526612.8516999995,5,87135.84761525202,324.0,C,HD,416.35,3,D.2,4,1033.3
D,Y,2526612.8516999995,4,72231.08486467581,324.0,C,HD,2338.44,1,N.1,3,161.9
B,Y,2526612.8516999995,4,72731.45576647582,324.0,C,HD,136.08,3,B.2,1,1047.1
C,X,4918759.585999998,5,158737.98500124624,149.0,P,ATS,886.0,1,2.1,3,134.0
A,Y,4366070.964799999,5,144275.2066571641,352.0,Q,ATS,1745.0,1,J.1,3,198.0
D,X,4366070.964799999,4,111059.95374720804,126.0,Q,HD,679.0,1,6.3,4,877.0
A,Y,5302759.515700001,5,180243.677345924,122.0,D,HD,4271.0,1,39.3,3,997.0
C,X,4366070.964799999,4,121258.27697505803,352.0,Q,HD,360.0,1,8.2,3,1617.0000000000002
D,Y,5302759.515700001,5,182015.13938437396,471.0,D,ATS,2909.0,1,30.1,2,1053.0
B,Y,4918759.585999998,5,159446.78736384623,276.0,P,HD,173.0,1,B.4,1,1859.0
A,X,4918759.585999998,4,123890.88263498934,224.0,P,HD,1094.0,3,3.3,4,567.0
D,Y,4918759.585999998,6,157683.51263124624,722.0,P,ATS,1177.0,1,G.1,5,1360.0
D,X,5302759.515700001,3,151381.03272786157,443.0,D,HD,3724.0,1,G.7,1,655.0
D,X,5302759.515700001,5,179227.76251852393,563.25,D,ATS,1350.0,1,G.3,2,655.0
A,Y,5302759.515700001,4,150396.49339386157,471.0,D,HD,977.0,3,7.2,2,1053.0
D,Y,2526612.8516999995,4,73018.90288027581,338.0,C,HD,581.56,1,E.1,1,168.8
A,Y,5302759.515700001,3,135167.7485555116,292.0,D,HD,1943.0,1,17.1,3,811.9999999999999
D,X,4918759.585999998,6,139754.11524069624,338.0,P,ATS,1589.0,1,8.4,6,1932.0
D,X,4918759.585999998,4,134239.87204853934,270.0,P,HD,1503.0,1,1.2,3,11.0
C,Y,4918759.585999998,5,139929.7773657962,287.0,P,HD,533.0,1,C.4,5,1865.0
D,X,5302759.515700001,5,154339.12186907398,443.0,D,ATS,665.0,3,G.2,5,655.0
C,Y,5302759.515700001,5,185509.12449832397,292.0,D,ATS,1943.0,3,17.1,2,811.9999999999999
B,X,2526612.8516999995,3,71954.28394027581,127.0,C,HD,1577.27,1,2.3,2,129.58
D,Y,2526612.8516999995,6,87212.67563045202,388.0,C,ATS,1090.36,1,G.1,2,316.62
D,Y,5302759.515700001,5,155036.44727477396,265.0,D,HD,4127.0,1,D.4,5,363.0
D,X,4918759.585999998,6,157936.39674564623,162.0,P,ATS,81.0,1,8.1,4,1932.0
C,X,5302759.515700001,4,150156.1381536616,443.0,D,HD,4167.0,1,G.8,3,655.0
C,Y,4366070.964799999,3,111059.95374720804,172.0,Q,HD,627.0,1,D.3,3,1833.0
A,X,4918759.585999998,5,158034.8368814462,152.0,P,HD,1243.0,1,7.2,4,1732.0
C,X,5302759.515700001,3,149789.6605980616,136.5,D,HD,1949.0,1,E.2,2,475.0
A,Y,2526612.8516999995,3,72231.08486467581,335.0,C,HD,1572.96,3,J.2,2,904.97
C,X,4366070.964799999,4,121785.26335035804,742.0,Q,HD,1547.0,1,7.2,1,1247.0
D,X,2526612.8516999995,4,72465.30103147581,120.0,C,HD,400.51,1,9.1,1,1202.1
A,Y,2526612.8516999995,5,86662.09218695201,335.0,C,ATS,1572.96,3,J.2,1,904.97
D,Y,5302759.515700001,5,181185.9414049489,471.0,D,ATS,2909.0,1,30.1,3,1053.0
A,Y,5302759.515700001,5,154371.06043727396,307.0,D,ATS,565.0,3,5.1,5,221.0
B,X,5302759.515700001,3,135774.5813513116,120.0,D,HD,3873.0,3,L.7,3,1254.0
C,Y,4366070.964799999,3,122056.74118005804,352.0,Q,HD,173.0,3,B.6,1,2296.0
A,X,5302759.515700001,5,178966.13461792396,433.0,D,ATS,1324.0,3,A.1,3,11.0
B,Y,4918759.585999998,5,158535.2077832462,276.0,P,HD,173.0,1,B.2,3,861.0
D,X,4918759.585999998,4,134239.87204853934,149.0,P,HD,886.0,1,2.1,3,134.0
C,X,5302759.515700001,5,181664.94363082395,122.0,D,HD,3411.9999999999995,1,A.2,1,11.0
C,Y,5302759.515700001,3,150742.49454936158,158.0,D,HD,565.0,3,5.2,2,565.0
A,Y,5302759.515700001,4,150396.49339386157,223.0,D,HD,1297.0,3,9.1,1,404.0
B,X,2526612.8516999995,5,88428.32370485202,280.0,C,ATS,1237.26,3,2.2,2,129.58
B,Y,5302759.515700001,3,135774.5813513116,122.0,D,HD,4271.0,3,39.2,3,313.0
A,Y,2526612.8516999995,4,72529.17816787581,185.0,C,HD,1297.26,3,H.1,1,229.17
D,X,4918759.585999998,6,157683.51263124624,470.0,P,ATS,971.0,1,8.3,5,1932.0
A,X,4918759.585999998,5,157864.49785104624,470.0,P,ATS,971.0,1,4.3,2,788.0
C,Y,4366070.964799999,5,126413.24232511412,289.0,Q,HD,1393.0,1,I.2,5,1906.0
A,Y,5302759.515700001,5,179716.48581562395,232.0,D,ATS,11.0,3,1.2,4,842.0
D,X,4366070.964799999,3,123002.63486805806,642.0,Q,HD,959.0,3,5.1,1,736.0
A,X,5302759.515700001,5,179059.68690532394,120.0,D,ATS,2951.0,1,B.6,3,56.00000000000001
C,X,5302759.515700001,5,180335.39991532397,136.5,D,ATS,508.0,1,E.1,3,475.0
D,Y,2526612.8516999995,4,72747.42505057581,324.0,C,HD,136.08,1,B.1,2,161.9
D,Y,4366070.964799999,5,144221.9757101641,172.0,Q,ATS,1291.0,1,H.3,4,1833.0
D,X,4918759.585999998,3,124194.29903288934,149.0,P,HD,886.0,3,10.1,3,2586.0
B,Y,4366070.964799999,5,146465.8721903641,172.0,Q,ATS,627.0,3,D.2,2,661.0
A,Y,2526612.8516999995,5,86859.04669085202,324.0,C,HD,416.35,3,D.2,4,1033.3
D,X,5302759.515700001,3,149789.6605980616,122.0,D,HD,3411.9999999999995,1,A.2,2,11.0
C,X,4366070.964799999,4,121588.30884645804,330.0,Q,HD,1569.0,1,10.3,2,1839.0
B,Y,2526612.8516999995,4,71980.89941377581,180.0,C,HD,337.16,1,C.1,2,505.3
C,X,4366070.964799999,3,122367.12925425803,120.0,Q,HD,1696.0,3,13.4,2,2483.0
C,Y,4366070.964799999,3,121509.17212995804,289.0,Q,HD,525.0,1,C.1,2,588.0
D,X,5302759.515700001,4,149789.6605980616,563.25,D,HD,2476.0,1,G.5,3,655.0
A,Y,5302759.515700001,4,150396.49339386157,158.0,D,HD,565.0,3,5.3,1,745.0
A,X,5302759.515700001,4,150396.49339386157,120.0,D,HD,2602.0,3,B.5,2,56.00000000000001
B,Y,5302759.515700001,5,185237.64666862396,209.5,D,ATS,4009.000000000001,3,37.2,2,1138.0
C,X,4918759.585999998,4,134436.82655243934,470.0,P,HD,971.0,1,8.3,2,1932.0
B,Y,4366070.964799999,4,111059.95374720804,494.0,Q,HD,627.0,1,D.1,4,247.00000000000003
A,X,5302759.515700001,5,180466.83701332397,563.25,D,ATS,1913.0,3,G.4,3,655.0
B,X,4918759.585999998,4,123890.88263498934,149.0,P,HD,886.0,1,10.1,4,2586.0
B,Y,5302759.515700001,5,186573.74343832396,194.5,D,ATS,2285.0,3,21.1,1,763.0
B,Y,5302759.515700001,5,180850.51014172396,285.0,D,HD,1836.0,1,15.1,2,1101.0
D,Y,5302759.515700001,5,181185.9414049489,307.0,D,ATS,565.0,1,5.4,3,1090.0
A,Y,5302759.515700001,3,135167.7485555116,307.0,D,HD,565.0,3,5.1,3,221.0
B,Y,2526612.8516999995,5,86582.24576645202,324.0,C,ATS,2058.16,1,L.2,2,1033.3
B,Y,5302759.515700001,5,179059.68690532394,120.0,D,ATS,4271.0,3,39.4,4,1183.0
B,X,4918759.585999998,5,139929.7773657962,470.0,P,HD,971.0,1,8.3,5,1932.0
A,Y,4366070.964799999,4,121066.64556585804,494.0,Q,HD,627.0,1,D.4,3,2247.0
C,X,5302759.515700001,3,150742.49454936158,136.5,D,HD,2440.0,3,I.3,2,835.0
D,Y,4366070.964799999,3,121396.67743725804,289.0,Q,HD,525.0,1,C.2,2,1906.0
C,Y,5302759.515700001,4,150826.84808586157,190.0,D,HD,3564.0,1,35.1,2,95.0
C,Y,4918759.585999998,3,134239.87204853934,276.0,P,HD,173.0,1,B.4,2,1859.0
A,Y,4366070.964799999,4,121066.64556585804,287.0,Q,HD,1745.0,1,J.2,3,588.0
D,Y,4918759.585999998,4,123890.88263498934,799.0,P,HD,1297.0,1,H.2,4,2321.0
A,Y,5302759.515700001,3,135167.7485555116,120.0,D,HD,4271.0,1,39.1,3,127.0
B,X,4366070.964799999,4,121646.86288815804,171.0,Q,HD,470.0,1,1.2,1,11.0
A,X,5302759.515700001,3,149182.82780226163,563.25,D,HD,1350.0,3,G.3,2,655.0
C,X,5302759.515700001,5,181443.1485164239,265.0,D,ATS,262.0,1,D.1,1,363.0
B,X,4366070.964799999,3,121258.27697505803,155.0,Q,HD,871.0000000000001,1,2.1,2,133.0
B,X,4918759.585999998,6,158329.04959884624,224.0,P,ATS,848.0,3,3.2,3,567.0
A,X,4918759.585999998,5,158843.94727584624,470.0,P,HD,971.0,3,4.3,3,788.0
B,X,4918759.585999998,5,157715.45119944622,149.0,P,ATS,1057.0,1,10.2,4,2586.0
C,X,4366070.964799999,3,111059.95374720804,171.0,Q,HD,470.0,1,1.2,3,11.0
B,X,2526612.8516999995,5,88075.81168505202,540.0,C,ATS,270.0,3,5.1,3,604.5
D,X,4918759.585999998,4,134509.26450323933,152.0,P,HD,1247.0,1,5.2,3,988.0
C,Y,5302759.515700001,5,183878.44837934893,209.5,D,ATS,2815.0,3,29.1,3,172.0
A,Y,4918759.585999998,5,157961.34638394625,287.0,P,ATS,533.0,1,C.4,3,1865.0
B,X,2526612.8516999995,3,64861.320775050815,127.0,C,HD,1577.27,3,8.2,3,1079.42
A,X,2526612.8516999995,5,86640.79980815202,127.0,C,ATS,1577.27,1,2.3,1,129.58
C,X,5302759.515700001,5,180850.51014172396,265.0,D,HD,262.0,1,J.1,2,947.0
D,X,4366070.964799999,5,126163.0568742141,352.0,Q,ATS,1558.0,3,8.5,5,1617.0000000000002
B,X,4918759.585999998,3,123890.88263498934,149.0,P,HD,1057.0,1,10.2,3,2586.0
A,Y,2526612.8516999995,5,86550.30719825202,274.0,C,ATS,6.9,1,A.1,3,460.7
B,Y,5302759.515700001,3,151019.2954737616,209.5,D,HD,1574.0,3,12.1,1,1138.0
D,Y,5302759.515700001,4,135167.7485555116,307.0,D,HD,565.0,1,5.4,4,1090.0
C,X,5302759.515700001,5,180335.39991532397,265.0,D,ATS,4127.0,1,D.4,3,363.0
C,X,4918759.585999998,4,134101.47158633932,224.0,P,HD,1094.0,1,3.3,3,567.0
D,X,4366070.964799999,5,146157.9211048141,288.0,Q,ATS,1590.0,3,11.2,4,2131.0
A,Y,5302759.515700001,5,180743.63793772392,158.0,D,ATS,1389.0,3,10.1,1,745.0
A,X,5302759.515700001,5,185273.42025022395,287.0,D,HD,2183.0,3,J.3,1,947.0
C,Y,4366070.964799999,3,122056.74118005804,287.0,Q,HD,1745.0,3,J.5,1,1906.0
D,Y,2526612.8516999995,5,88650.04487525202,335.0,C,ATS,901.56,1,F.2,1,904.97
D,X,5302759.515700001,5,182474.850285524,326.0,D,HD,3411.9999999999995,1,F.3,1,504.0
C,X,5302759.515700001,5,186408.72750262392,122.0,D,ATS,977.0,3,M.1,1,1299.0
A,Y,2526612.8516999995,3,64840.02839625081,324.0,C,HD,136.08,3,B.1,3,161.9
B,Y,5302759.515700001,4,150188.89270056158,122.0,D,HD,118.0,3,2.2,3,313.0
B,Y,5302759.515700001,3,151019.2954737616,190.0,D,HD,3260.0,3,33.1,1,95.0
A,Y,5302759.515700001,5,154371.06043727396,122.0,D,ATS,118.0,3,2.3,5,927.0
D,Y,4918759.585999998,6,160151.2151979962,287.0,P,ATS,533.0,1,C.1,2,856.0
B,X,4366070.964799999,3,121066.64556585804,126.0,Q,HD,679.0,1,6.3,1,877.0
C,X,4366070.964799999,4,124268.69909205804,288.0,Q,HD,1590.0,1,3.2,1,363.0
C,Y,5302759.515700001,4,150396.49339386157,232.0,D,HD,11.0,1,1.2,1,842.0
D,Y,4918759.585999998,5,159330.43363914627,200.0,P,ATS,533.0,1,C.2,3,1249.0
D,Y,2526612.8516999995,6,86716.475478652,338.0,C,ATS,1892.96,1,K.1,4,168.8
A,X,4366070.964799999,3,121588.30884645804,288.0,Q,HD,328.0,3,11.1,1,2131.0
D,X,4918759.585999998,3,137336.11239413937,224.0,P,HD,848.0,3,9.2,1,2154.0
B,X,5302759.515700001,3,135774.5813513116,443.0,D,HD,222.00000000000003,3,G.1,3,655.0
A,X,4918759.585999998,5,157864.49785104624,152.0,P,ATS,1247.0,1,5.2,2,988.0
B,X,5302759.515700001,5,179174.53157152396,443.0,D,ATS,665.0,3,G.2,2,655.0
D,X,4366070.964799999,5,150084.70391726412,126.0,Q,ATS,1239.0,3,6.4,1,877.0
A,Y,4366070.964799999,4,121066.64556585804,195.0,Q,HD,1745.0,1,J.4,3,1595.0
D,Y,5302759.515700001,4,135350.9873333116,158.0,D,HD,2497.0,1,25.1,4,745.0
B,Y,2526612.8516999995,4,72529.17816787581,324.0,C,HD,136.08,3,B.1,2,161.9
B,X,4366070.964799999,5,145088.1218579641,162.0,Q,HD,1837.0,1,4.4,3,655.0
D,X,5302759.515700001,5,184609.52149402397,265.0,D,ATS,262.0,3,J.1,3,947.0
D,Y,4366070.964799999,4,123906.72865245806,762.0,Q,HD,1165.0,1,G.1,2,1247.0
B,Y,5302759.515700001,5,181437.31462544893,209.5,D,ATS,4009.000000000001,1,37.1,1,172.0
A,Y,5302759.515700001,5,154972.57013837397,287.0,D,HD,2183.0,3,J.3,5,947.0
A,X,4366070.964799999,4,121258.27697505803,352.0,Q,HD,1558.0,1,8.5,2,1617.0000000000002
D,X,4918759.585999998,5,159105.56038764623,149.0,P,ATS,886.0,1,10.1,1,2586.0
C,Y,4918759.585999998,4,134101.47158633932,284.0,P,HD,173.0,1,B.5,3,2578.0
A,X,2526612.8516999995,5,87570.82309235202,205.0,C,HD,2242.89,3,3.2,3,330.7
D,Y,5302759.515700001,3,150742.49454936158,158.0,D,HD,3824.0,3,36.3,2,745.0
C,X,4918759.585999998,5,158790.71632884623,544.0,P,HD,272.0,1,3.1,2,567.0
B,X,5302759.515700001,5,178966.13461792396,120.0,D,ATS,2951.0,1,B.6,4,56.00000000000001
D,X,5302759.515700001,3,135167.7485555116,443.0,D,HD,3724.0,1,G.7,3,655.0
A,Y,2526612.8516999995,5,74192.42165052702,335.0,C,ATS,1572.96,3,J.2,5,904.97
A,Y,5302759.515700001,3,135167.7485555116,471.0,D,HD,977.0,3,7.2,3,1053.0
A,X,4366070.964799999,3,111059.95374720804,352.0,Q,HD,1558.0,1,8.5,3,1617.0000000000002
B,Y,5302759.515700001,5,179636.844550124,292.0,D,HD,2446.0,1,24.1,4,498.00000000000006
B,Y,5302759.515700001,5,183062.916253424,471.0,D,HD,2909.0,3,30.1,1,1053.0
B,X,5302759.515700001,5,183097.018558574,122.0,D,ATS,977.0,3,M.1,4,1299.0
C,Y,4918759.585999998,4,134436.82655243934,276.0,P,HD,173.0,1,B.4,2,1859.0
C,X,4366070.964799999,5,144264.5604677641,120.0,Q,ATS,1696.0,1,1.4,4,11.0
B,Y,5302759.515700001,5,179636.844550124,158.0,D,HD,2497.0,1,25.1,4,745.0
C,Y,5302759.515700001,4,135167.7485555116,209.5,D,HD,2312.0,1,22.1,4,1138.0
A,Y,2526612.8516999995,5,86790.373191952,180.0,C,ATS,337.16,3,C.1,4,505.3
A,Y,4366070.964799999,5,145020.4399151641,725.0,Q,HD,959.0,3,F.1,4,362.0
A,Y,5302759.515700001,3,135167.7485555116,194.5,D,HD,4036.0,1,38.2,3,763.0
B,X,4918759.585999998,6,160684.9061862962,270.0,P,ATS,439.0,3,1.1,2,11.0
D,X,2526612.8516999995,4,64840.02839625081,169.0,C,HD,503.96,1,4.1,4,434.5
A,Y,4918759.585999998,5,139929.7773657962,422.0,P,HD,173.0,3,B.3,5,1360.0
C,Y,5302759.515700001,5,154371.06043727396,122.0,D,ATS,4271.0,1,39.3,5,997.0
C,X,5302759.515700001,5,180565.74535552395,120.0,D,ATS,167.0,1,L.1,2,1254.0
B,X,5302759.515700001,5,154371.06043727396,120.0,D,ATS,2602.0,3,B.5,5,56.00000000000001
A,Y,2526612.8516999995,4,64840.02839625081,335.0,C,HD,1572.96,1,J.1,4,304.03
C,X,4366070.964799999,4,121258.27697505803,162.0,Q,HD,81.0,1,10.1,3,1839.0
